# Bullinger	Heinrich
# Bullinger	Heinrich sen
# Bullinger	Heinrich jun
#	Grindal	Edannd
#	Grindal	Edaund
#	Grindal	EdmuruE
#	Grtaroluiihelm	s.n.
#	Gruciger	Felix
#	Grwalther	Rudolf
#	Grynaeus	Simon d
#	Grynäus	Simon dJ
#	GräV	Henry f
#	Grübel	Sebastian
#	Guineer	s.n.
#	Gurio	Coelius Secundus
#	Gutachten	des laus Wüst
#	Gällicius	Philipp
#	Gügeli	Johannes
#	HIlinger	Heinrich sen
#	Haag	David
#	Hack	Peter
#	Haddon	ames
#	Hage	Jehamaes
#	Haler	Josua
#	Haler	Michael
#	Haller	Sulpicius
#	Halles	Johannes
#	Hamberger	Hart mann
#	Hans	s.n.
#	Haogeorgus	Thomas
#	Happel	Viganft
#	Happelus	Wigand
#	Happoltstein	Anna Alexandria
#	Hardenberg	Albert
#	Harding	Thomas
#	Hartung	Johannes
#	Hathlaa	s.n.
#	HaüLler	Johannes
#	Hbhensax	s.n.
#	Hbrrhau	s Martin
#	Hbza	Theodor
#	Hebt	OfcrSetoptie
#	Hedio	Euseb
#	Hedio	Kaspar
#	Heehhelser	Christian
#	Hegner	Biethelm
#	Heheasax	Johann Philipp
#	Heheasax	Philipp vea
#	Heheaxax	UlrPMlipp vea
#	Heim	Lucius Comander
#	Helander	Dionysius
#	Hemmer	Aegidius
#	Herdenius	HelfriSl
#	Herdessianus	Christoph
#	Herman	Rudolf
#	Hermann	Daniel
#	Herold	s.n.
#	Herold	Michael
#	Herter	Joachim
#	Herter	Johannes
#	Herterus	Johannes
#	Heser	David
#	Hespiaiaa	Jehaanes
#	Hessen	Landgraf Philipp voi
#	Hessen	LandgrafPhilipp vo
#	Heyden	Johannes
#	Heyer	Rudolf
#	Hhiner	Heinrich
#	Hicronius	Martin
#	HiffBJrs	s.n.
#	Hillei	Richard
#	Himer	Johann Conrad
#	Hirsgarter	Matthias
#	Hirsgarter	Matthias und
#	Hochheizer	Christian
#	Hochhelxer	Christian
#	Hochholzer	Chrirfstian
#	Hochhozer	Christian
#	Hoehholzer	Christ
#	Hoehholzer	Christian
#	Hoffhalter	Katharina
#	Hofjftiann	Marcus
#	Hollerius	Blasius
#	Horn	Robert und
#	Horn	Robert und Chambers
#	Hortinus	Michael
#	Hospinian	Cannes
#	Hospinian	Christian
#	Hospinian	Wirth Johannes
#	Hospinin	Johannes
#	Hosplnian	Johannes
#	Hotiman	François
#	Hotmann	Frans
#	Hotmann	François
#	Hotmanr	François
#	Hotoaannus	ranciscus
#	Hotoaiannus	Franciscus
#	Hotomamus	Franciscus
#	Hotomann	Franz
#	Hotomannus	Branziscus
#	Hotomannus	Frameiscus
#	Hotomannus	Francscue
#	Hotomannus	Francscus
#	Hotomanus	Franclscus
#	Hubenscbaid	Kaspar
#	Hubenschaid	Kaspar
#	Hubenschmid	s.n.
#	Hubenschmid	Kaspar
#	Hubert	Konrad
#	Hufcer	Jakob
#	HugCXfä	Johannes
#	Hugb	Johannes
#	Hugfcj	Zohannes
#	HugfoJobannes	s.n.
#	Hugföl	Johannes u
#	Hugj	Johannes
#	Hugjo	Johannes I
#	Hugjo	Johannes J
#	Hugjp	Johannes jl
#	Hugjpl	Johann J
#	Hugo	JojäpVnes
#	HugoJohannes	s.n.
#	Husculus	Wolfgang
#	Hyperins	Andreas
#	Hyperius	Ancteas
#	Hyperius	Laurentius
#	Hyperlus	Andreas
#	Hypltrius	Andre
#	Hübenwchmid	K spar
#	Hürus	Hieronymus
#	Hüsseli	Kaspar
#	Idner	Hans
#	IfrltaTius	Joachim
#	Ihretius	Christoph
#	ItoSlM	s.n.
#	IttfeWiM	s.n.
#	JAske	Johannes
#	JFeretz	Jakob
#	JJlrich	s.n.
